location,city,state,startmonth,finishmonth,startdate,finishdate,year,lat,lon,tournament_link
kentucky lake,paris,tennessee,May,May,27,30,1987,36.3020023,-88.32671069999999,https://www.bassmaster.com/tournaments/super-invitational-0
lake norman,cornelius,north carolina,May,May,10,12,2018,35.4868032,-80.86007359999999,https://www.bassmaster.com/tournaments/2018-bass-pro-shops-eastern-open-2-lake-norman
lake havasu,lake havasu city,arizona,November,November,20,22,2003,34.483901,-114.3224548,https://www.bassmaster.com/tournaments/2003-western-open-3
potomac river,charles county,maryland,June,June,4,4,2006,38.5221781,-77.10249019999999,https://www.bassmaster.com/tournaments/capitol-4-charles-county-bo
lake sinclair,milledgeville,georgia,March,March,6,8,1997,33.0801429,-83.2320991,https://www.bassmaster.com/tournaments/georgia-top-100-pro-0
lake okeechobee,okeechobee,florida,January,January,26,28,2006,27.2439349,-80.82978279999999,https://www.bassmaster.com/tournaments/2006-southern-open-1
lake okeechobee,clewiston,florida,November,November,19,21,1980,26.7542312,-80.93367529999999,https://www.bassmaster.com/tournaments/1980-florida-invitationaleast-lake-okeechobee
james river,richmond,virginia,August,August,18,20,2016,37.5407246,-77.4360481,https://www.bassmaster.com/tournaments/2016-bass-pro-shops-northern-open-2
potomac river,marbury,maryland,May,May,15,15,2005,38.575397100000004,-77.1555343,https://www.bassmaster.com/tournaments/bassmaster-series-northeast-1-bo
lake erie/niagara river tributaries,buffalo,new york,June,June,24,26,2004,42.88644679999999,-78.8783689,https://www.bassmaster.com/tournaments/2004-northern-open-1
potomac river,charles county,maryland,May,May,21,21,2006,38.5221781,-77.10249019999999,https://www.bassmaster.com/tournaments/capitol-3-charles-county-bo
potomac river,marbury,maryland,May,May,22,22,2005,38.575397100000004,-77.1555343,https://www.bassmaster.com/tournaments/bassmaster-series-marylandvirginia-2-bo
potomac river,marbury,maryland,September,September,11,11,2005,38.575397100000004,-77.1555343,https://www.bassmaster.com/tournaments/bassmaster-series-marylandvirginia-5-bo
potomac river,marbury,maryland,April,April,17,17,2005,38.575397100000004,-77.1555343,https://www.bassmaster.com/tournaments/bassmaster-series-marylandvirginia-1-0
potomac river,charles county,maryland,April,April,23,23,2006,38.5221781,-77.10249019999999,https://www.bassmaster.com/tournaments/capitol-2-charles-county-bo
lake erie,buffalo,new york,September,September,11,13,2003,42.88644679999999,-78.8783689,https://www.bassmaster.com/tournaments/2003-northern-open-2
bull shoals lake,bull shoals,arkansas,September,September,22,24,1976,36.383956,-92.58155269999999,https://www.bassmaster.com/tournaments/all-american-7
oneida lake,syracuse,new york,June,July,30,2,2016,43.0481221,-76.14742439999999,https://www.bassmaster.com/tournaments/2016-bass-pro-shops-northern-open-1
toledo bend reservoir,zwolle,louisiana,February,February,25,27,1976,31.6315626,-93.6440698,https://www.bassmaster.com/tournaments/1976-louisiana-invitational
buggs island reservoir,south hill,virginia,April,April,27,29,1995,36.726532,-78.1288857,https://www.bassmaster.com/tournaments/virginia-invitational-9
oneida lake,syracuse,new york,August,August,6,8,2015,43.0481221,-76.14742439999999,https://www.bassmaster.com/tournaments/2015-bass-pro-shops-northern-open-2
grand lake,grove,oklahoma,August,August,20,22,1980,36.5936863,-94.76911860000001,https://www.bassmaster.com/tournaments/chapter-championship-6
ohio,paducah,kentucky,August,August,12,14,2004,37.0833893,-88.6000478,https://www.bassmaster.com/tournaments/2004-central-open-1
lake seminole,bainbridge,georgia,December,December,6,9,1995,30.9037995,-84.57546990000002,https://www.bassmaster.com/tournaments/ga-top-100-pro-div-3
buggs island reservoir,clarksville,virginia,June,June,9,11,1976,36.6240297,-78.55694489999999,https://www.bassmaster.com/tournaments/1976-virginia-invitational
